SKU,Style,StyleDesc,ColorDesc,Sizerun,Pairs,是否选款
FU100232U-M050,FU100232U,FE LO 1920 RYU WHT/RED/MULTI,WHITE/RED/MULTI,M050,21,不选
FU100206U-M090,FU100206U,FE LO 1920 SLIP ON OFF WHITE,OFF WHITE,M090,19,不选
FU100252U-M130,FU100252U,FELO 1920 RF WHITE,WHITE,M130,19,不选
FK100029C-M110,FK100029C,FE LO 1920 KIDS EL NAVY CANVAS,NAVY,M110,18,不选
FU100201U-M120,FU100201U,FE LO 1920 WHIT/NAVY CVS,WHITE/NAVY,M120,17,不选
FU100207U-M140,FU100207U,FE LO 1920 SLIP ON BLACK/WHITE,BLACK/WHITE,M140,17,不选
FU100165W-M050,FU100165W,FELO1920 BK TMBLD/BLK LOGO/WHT,BLACK/WHITE,M050,16,不选
FU100236U-M060,FU100236U,FE LO 1920 EXO BLK/ORG/VOL GLS,BLACK/ORG/VGLASS,M060,12,不选
FU100236U-M030,FU100236U,FE LO 1920 EXO BLK/ORG/VOL GLS,BLACK/ORG/VGLASS,M030,10,不选
FU100240U-M040,FU100240U,FELO1920GMGND OFFWHT/NVY/GLDMT,NAVY/OFFWHT/GLDMET,M040,10,不选
FK100028C-M010,FK100028C,FELO1920 KID EL RED/BLU/RD CHV,RED/BLUE/RED,M010,9,不选
FK100029C-M020,FK100029C,FE LO 1920 KIDS EL NAVY CANVAS,NAVY,M020,9,不选
FU100230U-M100,FU100230U,FE LO AV WHITE/ROYAL CANVAS,WHITE/ROYAL,M100,8,不选
FU100232U-M040,FU100232U,FE LO 1920 RYU WHT/RED/MULTI,WHITE/RED/MULTI,M040,8,不选
FU100252U-M120,FU100252U,FELO 1920 RF WHITE,WHITE,M120,8,不选
FU100178W-M060,FU100178W,FE LO MULE BLACK CVS/BLK,BLACK,M060,7,不选
FU100222U-M100,FU100222U,FELO1920 COLORSPLIT WHT/BLU/RD,WHITE/BLUE/RED,M100,6,不选
FK100029C-M120,FK100029C,FE LO 1920 KIDS EL NAVY CANVAS,NAVY,M120,5,不选
FU100230U-M090,FU100230U,FE LO AV WHITE/ROYAL CANVAS,WHITE/ROYAL,M090,5,不选
FU100236U-M040,FU100236U,FE LO 1920 EXO BLK/ORG/VOL GLS,BLACK/ORG/VGLASS,M040,5,不选
FU100238U-M040,FU100238U,FELO1920GUMGRD BLK/OFWHT/GLDMT,BLACK/OFFWHT/GLDMET,M040,5,不选
FK100026C-M010,FK100026C,FE LO 1920 KIDS BLK CVS/BLU/RD,BLACK/BLUE/RED,M010,4,不选
FU100189M-M130,FU100189M,FE MID 1920 BLACK CANVAS/BK,BLACK,M130,4,不选
