SKU,Style,StyleDesc,ColorDesc,Sizerun,Pairs(物理),整年要求(实际搬仓),是否选款
FK100030C-M130,FK100030C,FE LO 1920 KIDS EL BLK/BLU/RED,BLACK/BLUE/RED,M130,5,0,是
FK100030C-M030,FK100030C,FE LO 1920 KIDS EL BLK/BLU/RED,BLACK/BLUE/RED,M030,4,0,是
FU100097M-M140,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M140,4,0,是
FU100188M-M100,FU100188M,FE MID 1920  TRIPLE OFFWHITE,OFF WHITE,M100,4,0,是
FU100237U-M020,FU100237U,FELO1920 EXO NEUTGREY/PEW/FRED,NEUTRAL GREY/PEW/FRED,M020,4,0,是
FE02070102-M090,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M090,3,0,是
FE02070102-M140,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M140,3,0,是
FU100096M-M070,FU100096M,FE LO 1920 WHT CVS/BLU/RED,WHITE/BLUE/RED,M070,3,0,是
FU100251U-M070,FU100251U,FELO1920CNYSNAKE BLK/RED/GLDMT,BLACK/RED/GUM,M070,3,0,是
FU100251U-M140,FU100251U,FELO1920CNYSNAKE BLK/RED/GLDMT,BLACK/RED/GUM,M140,3,0,是
FE02070102-M050,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M050,2,0,是
FE02070102-M100,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M100,2,0,是
FE02070102-M110,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M110,2,0,是
FE02070102-M120,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M120,2,0,是
FU100097M-M130,FU100097M,FE LO 1920 BLK CVS/BLU/RD LOGO,BLACK/BLUE/RED,M130,2,0,是
FU100116M-M140,FU100116M,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M140,2,0,是
FU100116W-M050,FU100116W,FE MID 1920 BLK CVS /WHT/RED,BLACK/WHITE/RED,M050,2,0,是
FU100177M-M070,FU100177M,FE LO 1920 BLACK CVS/BLACK,BLACK/BLACK,M070,2,0,是
FU100192M-M120,FU100192M,FE LO 1920 BLACK TUMBLD/BLK,BLACK,M120,2,0,是
FE01612001-M020,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M020,1,0,是
FE01612001-M040,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M040,1,0,是
FE01612001-M060,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M060,1,0,是
FE01612001-M080,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M080,1,0,是
FE01612001-M090,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M090,1,0,是
FE01612001-M100,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M100,1,0,是
FE01612001-M110,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M110,1,0,是
FE01612001-M120,FE01612001,FELO1920 CHEV PRT BK/WH/RD,BLACK/WHITE/RED,M120,1,0,是
FE02070102-M020,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M020,1,0,是
FE02070102-M070,FE02070102,FELO1920EXO WHITE/GREEN,WHITE/GREEN,M070,1,0,是
FU100146M-M110,FU100146M,FELO1920 IVRY CVS/BLUE/RED CHV,IVORY/BLUE/RED,M110,1,0,是
FU100167M-M060,FU100167M,FE LO 1920 WHITE CVS GRN LOGO,WHITE/GREEN,M060,1,0,是
FU100175M-M110,FU100175M,FE LO1920 NAVY CV WHT/RD/BL/GM,NAVY/WH/RD/BL/GM,M110,1,0,是
FU100176M-M090,FU100176M,FE LO 1920 GREYCV WHT/RD/BL/GM,GREY/WH/RD/BL/GM,M090,1,0,是
FU100177M-M100,FU100177M,FE LO 1920 BLACK CVS/BLACK,BLACK/BLACK,M100,1,0,是
FU100188M-M080,FU100188M,FE MID 1920  TRIPLE OFFWHITE,OFF WHITE,M080,1,0,是
FU100188M-M090,FU100188M,FE MID 1920  TRIPLE OFFWHITE,OFF WHITE,M090,1,0,是
FU100188M-M120,FU100188M,FE MID 1920  TRIPLE OFFWHITE,OFF WHITE,M120,1,0,是
FU100190M-M080,FU100190M,FE LO 1920 IVORY,IVORY,M080,1,0,是
FU100193M-M110,FU100193M,FE LO 1920 OFF WHITE,OFF WHITE,M110,1,0,是
FU100237U-M090,FU100237U,FELO1920 EXO NEUTGREY/PEW/FRED,NEUTRAL GREY/PEW/FRED,M090,1,0,是
FU100237U-M100,FU100237U,FELO1920 EXO NEUTGREY/PEW/FRED,NEUTRAL GREY/PEW/FRED,M100,1,0,是
FU100237U-M110,FU100237U,FELO1920 EXO NEUTGREY/PEW/FRED,NEUTRAL GREY/PEW/FRED,M110,1,0,是
FU100237U-M120,FU100237U,FELO1920 EXO NEUTGREY/PEW/FRED,NEUTRAL GREY/PEW/FRED,M120,1,0,是
FU100237U-M130,FU100237U,FELO1920 EXO NEUTGREY/PEW/FRED,NEUTRAL GREY/PEW/FRED,M130,1,0,是
FU100251U-M050,FU100251U,FELO1920CNYSNAKE BLK/RED/GLDMT,BLACK/RED/GUM,M050,1,0,是
FU100251U-M090,FU100251U,FELO1920CNYSNAKE BLK/RED/GLDMT,BLACK/RED/GUM,M090,1,0,是
FU100251U-M130,FU100251U,FELO1920CNYSNAKE BLK/RED/GLDMT,BLACK/RED/GUM,M130,1,0,是
